ship_type,ship_id,ship_name
Cargo,347236,NOVAYA ZEMLYA
Cargo,347415,SEVERNAYA ZEMLYA
Cargo,347509,MODULUS 2
Cargo,347528,LAZURITE
Cargo,347839,MIKHAIL LOMONOSOV
Cargo,347965,BRIN NAVOLOK
Cargo,348527,AMBAL
Cargo,348607,GEOR.POBEDONOSETS
Cargo,348769,SVYATITEL ALEKSIY
Cargo,348832,BIRYUZA
Cargo,348850,RUSICH-10
Cargo,349018,SORMOVSKIY-3068
Cargo,349963,SAMUR-3
Cargo,350158,PL 2
Cargo,350858,SORMOVSKIY 3064
Cargo,350926,IVAN SHCHEPETOV
Cargo,352321,LIVA GRETA
Cargo,352437,RIX STAR
Cargo,353499,BOTNIA SEAWAYS
Cargo,359267,HELGA
Cargo,359306,ADELE
Cargo,359354,FORSETI
Cargo,359376,MISTRAL
Cargo,359396,DORNUM
Cargo,359410,VITA
Cargo,359605,WIEBKE D
Cargo,359922,OSTEREMS
Cargo,360043,PAULINE RUSS
Cargo,360595,LISA
Cargo,361457,LISA D
Cargo,361900,MARNE
Cargo,362070,MITO STRAIT
Cargo,362313,BEKAU
Cargo,362322,ASKOE
Cargo,362369,BALDER
Cargo,362411,WILSON HOLLA
Cargo,362546,BRIGGA
Cargo,362551,FRIGGA
Cargo,362817,JSP ROVER
Cargo,362969,MARIS
Cargo,363336,FRANCISCA
Cargo,363434,BF VICTORIA
Cargo,363818,LYRA
Cargo,364158,BELIZIA
Cargo,364187,TRAVEBERG
Cargo,364258,RMS RAHM
Cargo,364394,BOREAS
Cargo,364500,CEMISLE
Cargo,364576,ICE RUNNER
Cargo,364663,FEHN POLLUX
Cargo,364743,CHRISTOPHER
Cargo,364937,BOMAR MOON
Cargo,365383,WILSON VOLOS
Cargo,365478,FEHN LIGHT
Cargo,365485,ALEXANDER B
Cargo,365628,NBP CARRIER
Cargo,365762,ANETTA
Cargo,365934,WES AMELIE
Cargo,366006,WES JANINE
Cargo,366516,VIDFOSS
Cargo,366621,SCA TUNADAL
Cargo,366725,CONMAR AVENUE
Cargo,366974,VENTURA
Cargo,368866,HOOD ISLAND
Cargo,369043,AUTUMN WAVE
Cargo,369206,DANUBE HIGHWAY
Cargo,370097,FRI OCEAN
Cargo,370244,NORDIC ACE
Cargo,370329,MINERVA
Cargo,370338,JOMI
Cargo,370709,BALTICA HAV
Cargo,370837,VALENCIA EXPRESS
Cargo,371109,MILAN EXPRESS
Cargo,372040,BBS SKY
Cargo,373303,JUNO
Cargo,373510,GREEN MALOY
Cargo,374258,DURBAN STAR
Cargo,374739,ROZTOCZE
Cargo,375298,ANDALUCIA STAR
Cargo,375318,AVELONA STAR
Cargo,375446,ICELAND CEMENT
Cargo,376153,FRI STREAM
